dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
04;2020-S10;0;0;1213;0;;
04;2020-S10;A;0;236;0;;
04;2020-S10;B;0;406;0;;
04;2020-S10;C;0;262;0;;
04;2020-S10;D;0;116;0;;
04;2020-S10;E;0;193;0;;
04;2020-S11;0;8;1118;6;;
04;2020-S11;A;0;182;0;;
04;2020-S11;B;1;380;1;;
04;2020-S11;C;3;261;1;;
04;2020-S11;D;4;113;4;;
04;2020-S11;E;0;182;0;;
04;2020-S12;0;27;749;14;;
04;2020-S12;A;0;113;0;;
04;2020-S12;B;12;265;4;;
04;2020-S12;C;10;193;5;;
04;2020-S12;D;2;74;2;;
04;2020-S12;E;3;104;3;;
04;2020-S13;0;59;733;26;;
04;2020-S13;A;0;51;0;;
04;2020-S13;B;15;266;2;;
04;2020-S13;C;27;222;12;;
04;2020-S13;D;10;84;5;;
04;2020-S13;E;7;110;7;;
04;2020-S14;0;36;663;19;;
04;2020-S14;A;0;56;0;;
04;2020-S14;B;11;253;4;;
04;2020-S14;C;9;165;2;;
04;2020-S14;D;11;77;8;;
04;2020-S14;E;5;112;5;;
04;2020-S15;0;26;723;9;;
04;2020-S15;A;1;58;1;;
04;2020-S15;B;10;226;2;;
04;2020-S15;C;9;215;2;;
04;2020-S15;D;2;74;0;;
04;2020-S15;E;4;150;4;;
04;2020-S16;0;21;706;13;;
04;2020-S16;A;0;82;0;;
04;2020-S16;B;3;211;1;;
04;2020-S16;C;5;197;2;;
04;2020-S16;D;8;93;5;;
04;2020-S16;E;5;123;5;;
04;2020-S17;0;14;800;4;;
04;2020-S17;A;0;77;0;;
04;2020-S17;B;7;278;2;;
04;2020-S17;C;3;204;1;;
04;2020-S17;D;4;86;1;;
04;2020-S17;E;0;155;0;;
05;2020-S10;0;24;1165;9;;
05;2020-S10;A;4;235;1;;
05;2020-S10;B;9;426;2;;
05;2020-S10;C;11;265;6;;
05;2020-S10;D;0;110;0;;
05;2020-S10;E;0;129;0;;
05;2020-S11;0;103;1133;11;;
05;2020-S11;A;6;173;1;;
05;2020-S11;B;47;443;4;;
05;2020-S11;C;40;256;3;;
05;2020-S11;D;5;103;2;;
05;2020-S11;E;5;158;1;;
05;2020-S12;0;183;738;37;;
05;2020-S12;A;6;89;1;;
05;2020-S12;B;76;273;4;;
05;2020-S12;C;75;226;16;;
05;2020-S12;D;10;57;5;;
05;2020-S12;E;16;93;11;;
05;2020-S13;0;165;782;51;;
05;2020-S13;A;2;65;0;;
05;2020-S13;B;63;292;4;;
05;2020-S13;C;51;222;11;;
05;2020-S13;D;24;82;16;;
05;2020-S13;E;25;121;20;;
05;2020-S14;0;104;672;25;;
05;2020-S14;A;0;62;0;;
05;2020-S14;B;37;244;1;;
05;2020-S14;C;41;179;5;;
05;2020-S14;D;15;82;9;;
05;2020-S14;E;11;105;10;;
05;2020-S15;0;152;728;16;;
05;2020-S15;A;3;70;0;;
05;2020-S15;B;66;249;2;;
05;2020-S15;C;67;199;5;;
05;2020-S15;D;5;75;0;;
05;2020-S15;E;11;135;9;;
05;2020-S16;0;82;690;10;;
05;2020-S16;A;1;71;0;;
05;2020-S16;B;45;271;4;;
05;2020-S16;C;24;181;1;;
05;2020-S16;D;7;67;2;;
05;2020-S16;E;5;100;3;;
05;2020-S17;0;42;631;6;;
05;2020-S17;A;0;69;0;;
05;2020-S17;B;13;211;0;;
05;2020-S17;C;19;175;2;;
05;2020-S17;D;5;68;1;;
05;2020-S17;E;5;108;3;;
06;2020-S10;0;90;6152;60;0;1221
06;2020-S10;A;5;1293;5;0;346
06;2020-S10;B;23;2167;8;0;479
06;2020-S10;C;19;1123;9;0;202
06;2020-S10;D;13;532;9;0;64
06;2020-S10;E;30;1037;29;0;130
06;2020-S11;0;264;5800;184;0;1214
06;2020-S11;A;31;1349;30;0;334
06;2020-S11;B;92;2104;54;0;484
06;2020-S11;C;57;1025;30;0;220
06;2020-S11;D;31;462;25;0;55
06;2020-S11;E;53;860;45;0;121
06;2020-S12;0;381;3676;213;109;1221
06;2020-S12;A;15;647;14;12;281
06;2020-S12;B;138;1272;51;56;498
06;2020-S12;C;93;786;45;27;239
06;2020-S12;D;46;322;31;9;75
06;2020-S12;E;89;649;72;5;128
06;2020-S13;0;575;3312;284;288;1184
06;2020-S13;A;6;467;4;29;193
06;2020-S13;B;201;1080;58;150;499
06;2020-S13;C;175;790;71;76;273
06;2020-S13;D;76;335;53;24;92
06;2020-S13;E;117;640;98;9;127
06;2020-S14;0;490;3347;287;219;1070
06;2020-S14;A;3;389;1;13;115
06;2020-S14;B;135;1081;45;124;447
06;2020-S14;C;159;837;87;55;250
06;2020-S14;D;74;364;54;14;86
06;2020-S14;E;119;676;100;13;171
06;2020-S15;0;362;3499;194;128;1020
06;2020-S15;A;4;487;0;16;125
06;2020-S15;B;86;1082;25;54;365
06;2020-S15;C;122;847;51;38;243
06;2020-S15;D;47;379;33;11;103
06;2020-S15;E;103;704;85;9;183
06;2020-S16;0;309;3706;175;130;1024
06;2020-S16;A;4;496;1;14;127
06;2020-S16;B;99;1189;32;64;384
06;2020-S16;C;80;880;33;31;231
06;2020-S16;D;25;364;23;9;80
06;2020-S16;E;101;777;86;12;202
06;2020-S17;0;306;3797;141;99;1057
06;2020-S17;A;3;513;0;6;114
06;2020-S17;B;101;1197;21;45;372
06;2020-S17;C;90;906;24;27;231
06;2020-S17;D;32;397;23;11;107
06;2020-S17;E;80;784;73;10;233
07;2020-S10;0;2;1020;0;;
07;2020-S10;A;0;88;0;;
07;2020-S10;B;1;416;0;;
07;2020-S10;C;1;224;0;;
07;2020-S10;D;0;110;0;;
07;2020-S10;E;0;182;0;;
07;2020-S11;0;4;985;0;;
07;2020-S11;A;0;88;0;;
07;2020-S11;B;2;440;0;;
07;2020-S11;C;2;243;0;;
07;2020-S11;D;0;87;0;;
07;2020-S11;E;0;127;0;;
07;2020-S12;0;27;688;3;;
07;2020-S12;A;0;36;0;;
07;2020-S12;B;14;264;0;;
07;2020-S12;C;8;174;1;;
07;2020-S12;D;3;87;1;;
07;2020-S12;E;2;127;1;;
07;2020-S13;0;124;729;31;;
07;2020-S13;A;0;23;0;;
07;2020-S13;B;44;282;3;;
07;2020-S13;C;45;215;11;;
07;2020-S13;D;15;81;6;;
07;2020-S13;E;20;128;11;;
07;2020-S14;0;160;660;32;;
07;2020-S14;A;0;31;0;;
07;2020-S14;B;58;223;1;;
07;2020-S14;C;46;207;5;;
07;2020-S14;D;21;79;7;;
07;2020-S14;E;35;120;19;;
07;2020-S15;0;121;700;22;;
07;2020-S15;A;1;60;0;;
07;2020-S15;B;44;248;3;;
07;2020-S15;C;45;198;10;;
07;2020-S15;D;8;87;2;;
07;2020-S15;E;23;107;7;;
07;2020-S16;0;89;654;24;;
07;2020-S16;A;0;46;0;;
07;2020-S16;B;30;226;3;;
07;2020-S16;C;29;186;6;;
07;2020-S16;D;8;67;2;;
07;2020-S16;E;22;129;13;;
07;2020-S17;0;54;746;15;;
07;2020-S17;A;0;53;0;;
07;2020-S17;B;20;268;1;;
07;2020-S17;C;17;199;3;;
07;2020-S17;D;4;76;3;;
07;2020-S17;E;13;150;8;;
08;2020-S10;0;1;1686;0;;
08;2020-S10;A;0;389;0;;
08;2020-S10;B;0;569;0;;
08;2020-S10;C;1;298;0;;
08;2020-S10;D;0;169;0;;
08;2020-S10;E;0;261;0;;
08;2020-S11;0;1;1450;0;;
08;2020-S11;A;0;332;0;;
08;2020-S11;B;1;515;0;;
08;2020-S11;C;0;267;0;;
08;2020-S11;D;0;124;0;;
08;2020-S11;E;0;212;0;;
08;2020-S12;0;2;863;0;;
08;2020-S12;A;1;178;0;;
08;2020-S12;B;0;266;0;;
08;2020-S12;C;0;182;0;;
08;2020-S12;D;0;86;0;;
08;2020-S12;E;1;151;0;;
08;2020-S13;0;13;863;7;;
08;2020-S13;A;1;130;0;;
08;2020-S13;B;4;278;1;;
08;2020-S13;C;3;194;2;;
08;2020-S13;D;3;103;2;;
08;2020-S13;E;2;158;2;;
08;2020-S14;0;11;909;9;;
08;2020-S14;A;1;132;0;;
08;2020-S14;B;1;290;0;;
08;2020-S14;C;2;212;2;;
08;2020-S14;D;1;109;1;;
08;2020-S14;E;6;166;6;;
08;2020-S15;0;23;936;12;;
08;2020-S15;A;1;164;1;;
08;2020-S15;B;9;284;3;;
08;2020-S15;C;4;213;2;;
08;2020-S15;D;3;102;1;;
08;2020-S15;E;6;173;5;;
08;2020-S16;0;30;936;8;;
08;2020-S16;A;0;147;0;;
08;2020-S16;B;11;311;3;;
08;2020-S16;C;10;208;1;;
08;2020-S16;D;4;82;2;;
08;2020-S16;E;5;188;2;;
08;2020-S17;0;12;791;5;;
08;2020-S17;A;0;132;0;;
08;2020-S17;B;3;274;1;;
08;2020-S17;C;5;165;1;;
08;2020-S17;D;2;81;1;;
08;2020-S17;E;2;139;2;;
09;2020-S10;0;0;901;0;;
09;2020-S10;A;0;153;0;;
09;2020-S10;B;0;325;0;;
09;2020-S10;C;0;187;0;;
09;2020-S10;D;0;91;0;;
09;2020-S10;E;0;145;0;;
09;2020-S11;0;12;836;1;;
09;2020-S11;A;0;157;0;;
09;2020-S11;B;9;264;0;;
09;2020-S11;C;3;171;1;;
09;2020-S11;D;0;80;0;;
09;2020-S11;E;0;164;0;;
09;2020-S12;0;4;405;1;;
09;2020-S12;A;1;56;1;;
09;2020-S12;B;0;125;0;;
09;2020-S12;C;3;94;0;;
09;2020-S12;D;0;52;0;;
09;2020-S12;E;0;78;0;;
09;2020-S13;0;20;377;8;;
09;2020-S13;A;1;33;0;;
